sim_id,n_ex,n_in,eib,psi_duration,psi_rise,psi_decay,psi_maxval,offset_linear,exp_linear,mae_linear,r2_linear,offset_dexp,exp_0,knee,exp_1,mae_dexp,r2_dexp
2019,922,9078,0.10156422119409561,0.0203,0.0014,0.0189,271116.7084369321,4.2581199201049325,1.8765053714915103,0.015575100697917916,0.9887606561539019,5.117017377856704,0.254761423175744,790.4062938143961,2.056758256669736,0.021214913544330163,0.9985690060506538
2020,435,9565,0.045478306325143755,0.0208,0.0015,0.019299999999999998,277647.68296488974,4.347153003663215,1.9185369154676217,0.014877878246145207,0.9907620723676531,5.203828184667232,0.2046160000849048,999.694095280867,2.1503788212393373,0.02430563500675888,0.998311027163238
2021,8881,1119,7.936550491510277,0.0056,0.0006,0.005,281191.01844616514,2.5476210433063105,1.0632424781707552,0.014791326183370817,0.967537931020844,4.7594428044033865,0.3177153409395358,1883.2433844094135,1.7599223718272945,0.020622311204445926,0.9965962835046113
2022,2795,7205,0.38792505204718947,0.0186,0.0011,0.017499999999999998,261186.69492824384,3.95926159743714,1.7415109543599063,0.01616976397088901,0.9831333062731182,4.772213239891971,0.22526683667269654,449.6355067607167,1.922114544636895,0.022365522854633984,0.9981768428206719
2023,2251,7749,0.2904890953671441,0.0194,0.0012,0.0182,261227.12471418362,4.074975713139729,1.8009772981220378,0.015616253928557599,0.9859555622187901,4.795090596471511,0.17621408523221443,484.8716524731771,1.9862413124814684,0.025632389356736902,0.9977931030205925
2024,196,9804,0.019991840065279477,0.0218,0.0015,0.0203,277228.89605745446,4.290197724025287,1.8898815807336748,0.01532733419226828,0.9895381680410407,5.1756400355940935,0.23118809851926386,877.5742971122953,2.110175325086677,0.026555674530178545,0.9980500518789854
2025,6653,3347,1.9877502240812668,0.0107,0.0007,0.01,265720.01344750024,3.049176227077822,1.2899508796435943,0.014941067968091021,0.9747579801085492,4.3781126099505006,0.27455909526999384,337.0965385674499,1.6741541203775874,0.025372457538654695,0.9969633477600189
2026,5800,4200,1.380952380952381,0.0137,0.0008,0.0129,264662.1175758429,3.365174387563995,1.4491061687616416,0.015741829427856114,0.9796061577779829,4.400336760073102,0.22239374334347461,308.3093832451682,1.7413952034466091,0.025626546322945497,0.9971683456861963
2027,6419,3581,1.7925160569673275,0.0116,0.0007,0.0109,266152.57499920257,3.2017150143903454,1.3702648763451313,0.011823285669258356,0.9885955513520525,3.0987206216953016,-99.5653047021666,31.193383815070845,100.94942622831094,0.09568076343949128,0.9458694722941233
2028,4444,5556,0.7998560115190785,0.0155,0.0009,0.0146,260637.15479065716,3.7611383665595586,1.650705465188556,0.017995638720023494,0.9813945574648442,3.417289634851367,-76.21884622395827,43.311020522290555,77.75315645159657,0.09999711540272395,0.9509555650624849
2029,9252,748,12.368983957219251,0.0052,0.0005,0.004699999999999999,283123.72301495814,2.223328942452416,0.8862849499229317,0.017881503339449593,0.9287849762830478,4.834108347287328,0.25178629442057665,3210.799722024899,1.856228823671294,0.020647515666823896,0.9960771224802624
2030,231,9769,0.023646227863650324,0.0217,0.0015,0.0202,277588.3737538531,4.441393793525209,1.9761395840017395,0.01793499772673464,0.9857807026370696,5.208383454785686,0.25590739046340627,906.246510859538,2.0999531520072474,0.025867672336994045,0.9981085726266924
2031,5962,4038,1.4764735017335315,0.0132,0.0007,0.0125,263281.1888560194,3.194767200273441,1.3629978651509695,0.012558049615912456,0.9841874917749956,3.1536786039825926,-122.30467745463294,29.94123766958106,123.71524170291366,0.09591432006868836,0.9462269981022987
2032,2131,7869,0.2708095056551023,0.0182,0.0012,0.017,261321.41799619803,4.233348328342926,1.884990250102936,0.016607349370884924,0.9869044606009592,4.903985244710666,0.19744754395729666,631.0951288539275,2.015031515103492,0.023493744563074737,0.998238031521292
2033,3412,6588,0.5179113539769278,0.0173,0.001,0.0163,261263.4309713427,4.044831671604245,1.7947434426522126,0.01260323725843105,0.9913196008776357,4.6793279516439785,0.13795953986082493,488.12614682679776,1.9652302962183024,0.024304737936330274,0.9980326950264846
2034,5018,4982,1.0072260136491369,0.0143,0.0008,0.0135,261732.0445240993,3.5536927415468877,1.5488112082146626,0.017546554366292762,0.9776756490996088,4.477372696782289,0.2291641781618179,330.9451546447635,1.7727396251961771,0.02639730856441311,0.9972155990377667
2035,4285,5715,0.7497812773403325,0.0165,0.0009,0.015600000000000001,258460.88699032582,3.5404239918142144,1.5270413179030706,0.014559894206941402,0.9852250280483938,4.628876950934344,0.23129186379697317,420.5065807798013,1.8448368534833823,0.024830574004021087,0.9976760306733586
2036,149,9851,0.015125367982945894,0.021,0.0015,0.0195,277321.9532961938,4.486609950010223,1.9997569292916209,0.01188778670456546,0.9929953579933708,5.238279166726366,0.2486022068650874,1011.4493697655066,2.12211211207058,0.024550941167311328,0.998235477300028
2037,7730,2270,3.405286343612335,0.0079,0.0006,0.007300000000000001,272963.4573132187,2.896125869509257,1.222151050948136,0.013682336617350337,0.9786921624640909,4.507186901029577,0.3259266159898586,606.9809114289624,1.6641290705113907,0.02198186302732708,0.9968804175984367
2038,1162,8838,0.1314777098891152,0.02,0.0014,0.018600000000000002,268007.8424415895,4.293461511864523,1.9039029974095674,0.01917952413661334,0.9839425023709275,5.068300078390275,0.21327163106649732,782.2321294186584,2.077691816852802,0.025784035454993977,0.9980517253497417
2039,443,9557,0.04635345819817935,0.0212,0.0015,0.0197,274550.78823151224,4.5095748294098215,2.016915672282982,0.010676578818486547,0.9950852325125112,5.195040790835675,0.22438648050880677,960.8927798296447,2.127465522042118,0.02532348779298215,0.9982444121340213
2040,9155,845,10.834319526627219,0.005600000000000001,0.0005,0.0051,283322.47858351376,2.3826780193864265,0.968750203155583,0.013609814808485225,0.9692067363719781,4.707030759651995,0.25491124179831315,2173.896554028781,1.8004047267449785,0.019209487860867916,0.9969747786776698
2041,9761,239,40.84100418410042,0.0048000000000000004,0.0005,0.0043,289661.5668048573,2.070137459580325,0.8110206974890611,0.017667596422986813,0.9257606035500745,4.949756625682765,0.1289399158007925,8036.2516038935055,2.0235217546149684,0.01589274242808429,0.9975117422708069
2042,279,9721,0.028700750951548195,0.0206,0.0015,0.0191,274685.33292415354,4.3180650621228995,1.909216030855171,0.019687793970733922,0.9828437044172491,5.226055078354183,0.2528858647025449,1010.5549712441373,2.111627853469734,0.02739980621546781,0.9978011517529243
2043,149,9851,0.015125367982945894,0.0209,0.0016,0.019299999999999998,278106.8181285418,4.304283373064994,1.8960293219876436,0.016415901675008376,0.9862161042533872,5.251086479781208,0.2507478539554021,1042.1441229021027,2.1249586809836214,0.027680770352022332,0.9979340216530492
2044,7853,2147,3.657661853749418,0.0079,0.0006,0.007300000000000001,272995.4855301803,2.9147756094449377,1.2428576201424872,0.015971862572244387,0.9708089691331085,4.408445680015799,0.2943831426685661,532.2271031816181,1.6544248737413523,0.02611203234013982,0.9960085497160802
2045,2860,7140,0.4005602240896359,0.0187,0.0011,0.0176,260656.9833806139,3.9226979744224293,1.720077274302922,0.014588871739840177,0.9878096983105343,4.764459081862723,0.17234814663973158,512.2314143783016,1.9723184262123494,0.026975600538026723,0.9976303100595323
2046,9308,692,13.45086705202312,0.005300000000000001,0.0005,0.0048000000000000004,285360.80494168884,2.3637442850430608,0.9665256088764954,0.017832382260025613,0.9509793612325639,4.70357817361078,0.2551397932498855,2341.6480379327418,1.7946608577888952,0.020401815024824854,0.9964768582564797
2047,330,9670,0.03412616339193381,0.0214,0.0015,0.019899999999999998,274002.79165412096,4.170956571107756,1.8276882775530017,0.020770778987969488,0.9768571830180457,5.207725560074265,0.28972348632245615,849.1230584685719,2.065892874595507,0.02542059343697291,0.9979712327135423
2048,9854,146,67.4931506849315,0.004700000000000001,0.0005,0.004200000000000001,290494.5430671011,1.937333695309555,0.7366636668758462,0.018151243864521036,0.9108444168026946,4.843921979747716,0.0698639483656077,7868.627805103463,2.038938567415489,0.0167719502716394,0.9972937203525568
2049,1227,8773,0.13986093696569019,0.0186,0.0014,0.0172,266914.57626266795,4.349087332171857,1.9402002342654043,0.014215202683287775,0.9901037019944825,5.085048750684626,0.24595594238213445,790.7769056538938,2.051346051833408,0.023424753585935106,0.9983607803279774
2050,978,9022,0.10840168477056085,0.0203,0.0014,0.0189,270322.7238166015,4.385796966076236,1.948462619334593,0.015212103102835859,0.9902494573924803,5.166923796139027,0.2633072247798678,919.2097681013972,2.0707242197084086,0.02298472692639934,0.9983260599090101
2051,686,9314,0.07365256602963281,0.0217,0.0014,0.020300000000000002,271872.8194739472,4.330841071073894,1.9181929925338155,0.018583631166358507,0.9844983989253012,5.134150326857983,0.2665321676284783,773.8195662365413,2.054196453472423,0.024623458541524607,0.9982344732168059
2052,6754,3246,2.0807147258163896,0.0108,0.0007,0.010100000000000001,266354.83347984275,2.9828260035972436,1.261926701507607,0.016840144348861896,0.9726278228262404,4.289914181717087,0.2566074404247455,288.16884857550224,1.6534858985717786,0.023215329996890254,0.9972132686726893
2053,156,9844,0.015847216578626575,0.0205,0.0015,0.019,277439.80056125124,4.23106871386471,1.8554102870634408,0.015763110891820517,0.9859214026757618,5.23231092871092,0.23488453300677578,1039.6694808697446,2.1325751544686415,0.024371287579846766,0.9983232341445314
2054,9851,149,66.11409395973155,0.004700000000000001,0.0005,0.004200000000000001,289639.04280112823,1.8484750840056474,0.6911246424379727,0.015178492759693336,0.9203358875392461,4.880201327077753,0.09367133670310764,8055.278553521435,2.0301317759244153,0.015808380615212184,0.9974549298776192
2055,9883,117,84.47008547008546,0.004700000000000001,0.0005,0.004200000000000001,290866.84518914827,2.145572200154064,0.8556810684795062,0.02048417284331987,0.9117251198374199,4.8603077798745655,0.05008393233975136,8930.477347826443,2.0670579913551315,0.017467759862414226,0.9968772695222561
