sim_id,n_ex,n_in,eib,psi_duration,psi_rise,psi_decay,psi_maxval,offset_linear,exp_linear,offset_dexp,exp_0,knee,exp_1
648,9376,624,15.025641025641026,0.0051,0.0005,0.0046,285196.5757059127,2.03190874070189,0.7814342604968839,4.889010529998573,0.2590959848003129,3801.803348750542,1.867695609485505
649,116,9884,0.011736139214892756,0.0214,0.0015,0.019899999999999998,275624.6367946432,4.283309947164742,1.8897468684401497,5.203215260115253,0.250441671261656,911.8043658742853,2.104746449717345
650,767,9233,0.08307159103216723,0.0204,0.0014,0.019000000000000003,270815.6044844142,4.118920211600406,1.802837799207195,5.124094989489276,0.24235083187227485,812.9240177819551,2.0741840434609164
651,198,9802,0.020199959192001633,0.0208,0.0015,0.019299999999999998,278461.76584578573,4.241338022037696,1.8608161527597566,5.29604663392937,0.33651817746630736,998.8967248398559,2.05517917902029
652,1385,8615,0.1607661056297156,0.0201,0.0014,0.0187,270466.1156266234,4.234367254205178,1.869484546006716,5.150942210100257,0.3143642097879978,827.8608480461364,2.0072714961584976
653,2210,7790,0.28369704749679076,0.0189,0.0012,0.0177,263074.3073827455,4.023435558898853,1.7649333608955087,3.6938682515263097,-114.23038798505121,54.3312341799475,115.89711467717541
654,500,9500,0.05263157894736842,0.0206,0.0015,0.0191,274115.1662712342,4.462082761919099,1.9892880883091095,5.1774588553565595,0.21819517808163794,989.4450336604929,2.1233468841823453
655,9834,166,59.24096385542169,0.0046,0.0005,0.0040999999999999995,287384.677359483,1.8036379135867233,0.6696056703451387,5.005520390612444,0.12269346605495186,9940.982672135435,2.05525131213823
656,3015,6985,0.4316392269148175,0.0172,0.0011,0.0161,262165.0862460415,4.173469032883554,1.864323287693202,4.71645760024414,0.15030206838124513,479.5268597161383,1.9706988270299337
657,9406,594,15.835016835016836,0.0051,0.0005,0.0046,286233.32916201104,2.2351481076416246,0.8982620176907103,2.2769986600421004,-88.87886328119333,15.461302900715657,89.88769472489392
658,697,9303,0.07492206815005913,0.0202,0.0014,0.0188,272402.7482306437,4.342908281521876,1.9241549536484526,5.115273667899396,0.22832329621104613,813.9648701655908,2.08370928751604
659,2624,7376,0.3557483731019523,0.019,0.0012,0.0178,263764.65158970887,4.207508056754316,1.8771004663687525,3.6579149266359168,-113.0000984529317,55.64321780661483,114.64825429586607
660,2073,7927,0.2615112905260502,0.0187,0.0012,0.0175,266357.7750978653,4.034664449998586,1.7696604871684225,3.7167328875368555,-114.5589444758027,63.91859562891319,116.23551571232039
661,971,9029,0.1075423634954037,0.0201,0.0014,0.0187,272569.39609909046,4.195536810505985,1.8451082594325217,5.105057185667132,0.2429833956283233,806.031975918575,2.062270273435768
662,9497,503,18.880715705765407,0.005300000000000001,0.0005,0.0048000000000000004,287753.8996430552,2.1187413094798293,0.8248525426476113,4.892412039074952,0.2042021359554224,4676.092422989283,1.9258110953916106
663,9855,145,67.96551724137932,0.0046,0.0005,0.0040999999999999995,287958.56812268234,2.039402868634548,0.8018395890095398,4.861923262738369,0.07000893512275981,8329.128916354593,2.0499816355860543
664,162,9838,0.016466761536897745,0.0204,0.0015,0.0189,278460.81916981103,4.388977007959302,1.9462854295976977,5.304645653413931,0.3141973869592595,1034.5276433570984,2.08423819282609
665,6202,3798,1.6329647182727751,0.0126,0.0007,0.0119,265630.1442832015,3.3544794204808897,1.4565014166374057,4.36937785039101,0.23768286546369546,316.24119309556806,1.710174006997482
666,8449,1551,5.447453255963894,0.0065,0.0006,0.0059,279480.28946678364,2.5432839928217277,1.0480600555451343,2.6253849060687666,-95.77439660663266,19.176133324747017,96.94065701709549
667,2058,7942,0.2591286829513976,0.0189,0.0012,0.0177,265493.20844960056,4.15151938847388,1.8412476461246068,3.7024898935576864,-119.25250093252656,56.89251283000636,120.92263565668542
668,7476,2524,2.9619651347068148,0.0089,0.0006,0.0083,272247.87302661827,2.9348107446062874,1.2458011049964737,2.8703390881083877,-106.23826878905585,22.519780318834336,107.51831894190488
669,8243,1757,4.691519635742743,0.007,0.0006,0.0064,278293.31998416263,2.7170683066479415,1.1391919323373525,4.527907050843519,0.3203615545187252,809.1105299978542,1.6689624355204238
670,9871,129,76.51937984496124,0.0046,0.0005,0.0040999999999999995,289697.7138748575,2.076585759089766,0.8210989508578569,4.912715457420964,0.08289253406054022,9147.268242529728,2.0547287579509024
671,6642,3358,1.9779630732578917,0.0111,0.0007,0.010400000000000001,267044.61414850614,3.2369361431283923,1.3974534561642593,4.326642093589909,0.2227926255684111,334.88090144523767,1.7030267646511072
672,7067,2933,2.4094783498124785,0.0098,0.0006,0.0092,266499.8339012658,3.0719245880116803,1.3115465537173059,4.253328806487236,0.2145073779699703,319.58780471134406,1.677684498898479
673,242,9758,0.024800163968026236,0.0204,0.0016,0.0188,279738.7758278533,4.3557620540772355,1.9269191910389194,5.250620680266629,0.24271260727354543,1058.3588216201636,2.1316823840697112
674,1430,8570,0.16686114352392065,0.02,0.0013,0.0187,265993.5957999409,4.130166752676375,1.8158043009532663,5.020328423077801,0.24921647781167486,665.9809762255131,2.0172951113770057
675,282,9718,0.029018316526034163,0.0207,0.0015,0.0192,273948.66454369767,4.304748899849647,1.8958231618129096,5.243854742614606,0.25196448282550327,1032.944220290378,2.122739634522887
676,9822,178,55.17977528089887,0.0046,0.0005,0.0040999999999999995,287766.0414781801,2.0556747723620443,0.814037184893687,4.778989021397102,0.08273882891300108,6426.103328676018,2.000958217806084
677,9414,586,16.064846416382252,0.0051,0.0005,0.0046,285806.5824710582,2.232376281855882,0.8961142171610706,4.867292783560194,0.2445012149808975,3789.0506230465126,1.8725225897274265
678,8969,1031,8.699321047526674,0.0054,0.0005,0.0049,281205.57281956024,2.3870508219600968,0.9743733242274443,5.002384998707341,0.35330995480221694,3191.766279892282,1.8246486131922441
679,197,9803,0.020095889013567275,0.0214,0.0015,0.019899999999999998,277736.9537987823,4.381116850831781,1.9374515401336954,5.263058240816855,0.23579686203318412,1115.7885375904232,2.145873326035433
680,870,9130,0.09529025191675794,0.0204,0.0014,0.019000000000000003,271813.16952145443,4.345118617965852,1.9301620093875826,5.138429752705801,0.26249096394175986,823.6134401060897,2.0588151757457127
681,8032,1968,4.08130081300813,0.0073,0.0006,0.0067,275657.5412370818,2.7586322056664665,1.1609492716650434,4.454215028372462,0.3132018366114647,613.7021176177866,1.6495020794314916
682,3330,6670,0.4992503748125937,0.0179,0.001,0.0169,260402.44314924473,3.895007192927645,1.7124900961367215,3.5770422609594075,-120.95786169279236,45.34580933518747,122.56875761824998
683,3012,6988,0.4310246136233543,0.0168,0.0011,0.0157,261184.5538846292,3.999543357230058,1.7599500597736584,4.872896794516749,0.2477967187768488,594.3912773679023,1.943244075927291
684,4065,5935,0.6849199663016007,0.0162,0.0009,0.0153,259665.39249956678,3.8194011099675818,1.676295453138625,3.4648621714698082,-63.64147525078393,44.4884700790989,65.19728712161071
685,9321,679,13.727540500736376,0.0052,0.0005,0.004699999999999999,283737.79926604324,2.3297753554922322,0.9453367974329232,4.885515178372442,0.24216408443078066,3867.580948494578,1.8868732531138057
686,102,9898,0.010305112143867447,0.0206,0.0016,0.019,279757.53332881356,4.240620077444987,1.8641559472870324,5.302589796974201,0.29775597529851094,1044.5022916238768,2.100511449147854
687,3537,6463,0.5472690700912889,0.0166,0.001,0.0156,258765.55752013394,3.940074761846092,1.736469512093459,4.751750312370912,0.22798423126640027,494.97504128663167,1.907160457414232
688,2237,7763,0.28816179312121604,0.0188,0.0012,0.0176,266122.82246161206,4.138345207227305,1.8266382462557909,3.6877082256674245,-114.8318467658393,61.89495270532569,116.49383898442238
689,9571,429,22.31002331002331,0.0051,0.0005,0.0046,286918.15935969976,2.1177190839846514,0.8358400478683231,4.711772859669716,0.13927612279123283,3909.0862076875587,1.9168913557196863
690,9575,425,22.529411764705884,0.005000000000000001,0.0005,0.0045000000000000005,287211.60460477637,2.2185155871114737,0.8926361489530978,4.844344998150946,0.18654496992875655,4669.458842130347,1.9233785976624893
691,9563,437,21.88329519450801,0.005000000000000001,0.0005,0.0045000000000000005,287957.0664358231,2.22322628248064,0.8952025274753167,4.837145539029189,0.18617841189596387,4516.662670613627,1.920835196743799
692,9892,108,91.5925925925926,0.004700000000000001,0.0005,0.004200000000000001,290505.47236082423,1.9538772661405635,0.7514100882493897,4.8451130344614945,0.06915898191252841,8144.257960608904,2.0391841858386113
693,7500,2500,3.0,0.0086,0.0006,0.008,271790.21817365626,2.9687823037881804,1.2624896806201762,4.3340709482087405,0.27779974484360187,389.5594577524445,1.6434141470395307
694,3263,6737,0.48434021077630995,0.0176,0.001,0.0166,259047.48160412628,3.924613502342771,1.7250788062260645,4.735765113891382,0.1687265141298686,515.6836494738425,1.9618448562935995
